Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2007,2007,2007,0,0,1,Import,760,Syria,SYR,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,14655130254,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,11545710211,,,0
H1,2007,2007,2007,0,0,1,Import,760,Syria,SYR,4,Afghanistan,AFG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,676472,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,4,Afghanistan,AFG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3277202,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,8,Albania,ALB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1280538,,,0
H1,2007,2007,2007,0,0,1,Import,760,Syria,SYR,12,Algeria,DZA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,83345721,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,12,Algeria,DZA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,282700679,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,24,Angola,AGO,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,28321331,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,31,Azerbaijan,AZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,6819797,,,0
H1,2007,2007,2007,0,0,1,Import,760,Syria,SYR,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,155879558,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1418139,,,0
H1,2007,2007,2007,0,0,1,Import,760,Syria,SYR,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,34540202,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3853199,,,0
H1,2007,2007,2007,0,0,1,Import,760,Syria,SYR,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,22830851,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1960264,,,0
H1,2007,2007,2007,0,0,1,Import,760,Syria,SYR,48,Bahrain,BHR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,54079864,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,48,Bahrain,BHR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,17016454,,,0
H1,2007,2007,2007,0,0,1,Import,760,Syria,SYR,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,21722832,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,27912197,,,0
H1,2007,2007,2007,0,0,1,Import,760,Syria,SYR,51,Armenia,ARM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,273651,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,51,Armenia,ARM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1526695,,,0
H1,2007,2007,2007,0,0,1,Import,760,Syria,SYR,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,104056876,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,56,Belgium,BEL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,37952249,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,68,Bolivia (Plurinational State of),BOL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,312129,,,0
H1,2007,2007,2007,0,0,1,Import,760,Syria,SYR,70,Bosnia Herzegovina,BIH,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1350319,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,70,Bosnia Herzegovina,BIH,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,7336842,,,0
H1,2007,2007,2007,0,0,1,Import,760,Syria,SYR,76,Brazil,BRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,203678215,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,76,Brazil,BRA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,23908604,,,0
H1,2007,2007,2007,0,0,1,Import,760,Syria,SYR,100,Bulgaria,BGR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,74620535,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,100,Bulgaria,BGR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,23793492,,,0
H1,2007,2007,2007,0,0,1,Import,760,Syria,SYR,104,Myanmar,MMR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,89991,,,0
H1,2007,2007,2007,0,0,1,Import,760,Syria,SYR,108,Burundi,BDI,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,71007,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,108,Burundi,BDI,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,972223,,,0
H1,2007,2007,2007,0,0,1,Import,760,Syria,SYR,112,Belarus,BLR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,14007158,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,112,Belarus,BLR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,4075450,,,0
H1,2007,2007,2007,0,0,1,Import,760,Syria,SYR,120,Cameroon,CMR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,473281,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,120,Cameroon,CMR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,14805079,,,0
H1,2007,2007,2007,0,0,1,Import,760,Syria,SYR,124,Canada,CAN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,51518574,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,124,Canada,CAN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,16355822,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,140,Central African Rep.,CAF,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,186099,,,0
H1,2007,2007,2007,0,0,1,Import,760,Syria,SYR,144,Sri Lanka,LKA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,52122343,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,144,Sri Lanka,LKA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1795675,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,148,Chad,TCD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,119622,,,0
H1,2007,2007,2007,0,0,1,Import,760,Syria,SYR,152,Chile,CHL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,11675851,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,152,Chile,CHL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,13944306,,,0
H1,2007,2007,2007,0,0,1,Import,760,Syria,SYR,156,China,CHN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1175200594,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,156,China,CHN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,9653441,,,0
H1,2007,2007,2007,0,0,1,Import,760,Syria,SYR,170,Colombia,COL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,12755521,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,170,Colombia,COL,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2907552,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,180,Dem. Rep. of the Congo,COD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3171940,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,188,Costa Rica,CRI,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,131110,,,0
H1,2007,2007,2007,0,0,1,Import,760,Syria,SYR,191,Croatia,HRV,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1257836,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,191,Croatia,HRV,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,54186110,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,192,Cuba,CUB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,2294790,,,0
H1,2007,2007,2007,0,0,1,Import,760,Syria,SYR,196,Cyprus,CYP,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,135790601,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,196,Cyprus,CYP,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,24032591,,,0
H1,2007,2007,2007,0,0,1,Import,760,Syria,SYR,203,Czechia,CZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,37925626,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,203,Czechia,CZE,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,233698,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,204,Benin,BEN,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,1707024,,,0
H1,2007,2007,2007,0,0,1,Import,760,Syria,SYR,208,Denmark,DNK,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,12680725,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,208,Denmark,DNK,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,3417429,,,0
H1,2007,2007,2007,0,0,1,Import,760,Syria,SYR,214,Dominican Rep.,DOM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,228516,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,214,Dominican Rep.,DOM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,367217,,,0
H1,2007,2007,2007,0,0,1,Import,760,Syria,SYR,218,Ecuador,ECU,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,49883802,,,0
H1,2007,2007,2007,0,0,2,Export,760,Syria,SYR,218,Ecuador,ECU,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,,,,,,,17489274,,,0
