Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2017,2017,2017,0,0,1,Import,180,Dem. Rep. of the Congo,COD,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,5803107776,,,4
H1,2017,2017,2017,0,0,2,Export,180,Dem. Rep. of the Congo,COD,0,World,WLD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,,,12295708443,,,4
H1,2017,2017,2017,0,0,1,Import,180,Dem. Rep. of the Congo,COD,4,Afghanistan,AFG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,346,,,0
H1,2017,2017,2017,0,0,1,Import,180,Dem. Rep. of the Congo,COD,8,Albania,ALB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,46087,,,0
H1,2017,2017,2017,0,0,2,Export,180,Dem. Rep. of the Congo,COD,8,Albania,ALB,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,2629,,,0
H1,2017,2017,2017,0,0,1,Import,180,Dem. Rep. of the Congo,COD,10,Antarctica,ATA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,21,,,0
H1,2017,2017,2017,0,0,1,Import,180,Dem. Rep. of the Congo,COD,12,Algeria,DZA,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,35079,,,0
H1,2017,2017,2017,0,0,1,Import,180,Dem. Rep. of the Congo,COD,16,American Samoa,ASM,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,138219,,,0
H1,2017,2017,2017,0,0,1,Import,180,Dem. Rep. of the Congo,COD,20,Andorra,AND,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,11217,,,0
H1,2017,2017,2017,0,0,2,Export,180,Dem. Rep. of the Congo,COD,20,Andorra,AND,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,20085,,,0
H1,2017,2017,2017,0,0,1,Import,180,Dem. Rep. of the Congo,COD,24,Angola,AGO,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,29653954,,,4
H1,2017,2017,2017,0,0,2,Export,180,Dem. Rep. of the Congo,COD,24,Angola,AGO,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,7709494,,,0
H1,2017,2017,2017,0,0,1,Import,180,Dem. Rep. of the Congo,COD,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,8806,,,0
H1,2017,2017,2017,0,0,1,Import,180,Dem. Rep. of the Congo,COD,32,Argentina,ARG,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,19429481,,,0
H1,2017,2017,2017,0,0,1,Import,180,Dem. Rep. of the Congo,COD,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,50130304,,,4
H1,2017,2017,2017,0,0,2,Export,180,Dem. Rep. of the Congo,COD,36,Australia,AUS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,65309,,,0
H1,2017,2017,2017,0,0,1,Import,180,Dem. Rep. of the Congo,COD,40,Austria,AUT,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,3731614,,,0
H1,2017,2017,2017,0,0,2,Export,180,Dem. Rep. of the Congo,COD,44,Bahamas,BHS,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,9421,,,0
H1,2017,2017,2017,0,0,1,Import,180,Dem. Rep. of the Congo,COD,48,Bahrain,BHR,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,1765264,,,0
H1,2017,2017,2017,0,0,1,Import,180,Dem. Rep. of the Congo,COD,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,1167109,,,0
H1,2017,2017,2017,0,0,2,Export,180,Dem. Rep. of the Congo,COD,50,Bangladesh,BGD,,,,,,,,TOTAL,ALL COMMODITIES,1,No Quantity,0,,,,0,,119090,,,0
